"C:\Program Files\Java\jdk-11.0.12\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2020.2.3\lib\idea_rt.jar=58672:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2020.2.3\bin" -Dfile.encoding=UTF-8 -classpath "C:\Users\fabri\Documents\USP\Git projetos\Multilayer-Perpectron\out\production\MultilayerPerceptron" Main
Acertos para rede neural 63-1-7: [0,1] 3/21	[0,2] 0/21	[0,3] 0/21	[0,4] 0/21	[0,5] 0/21	[0,6] 0/21	[0,7] 1/21	[0,8] 0/21	[0,9] 5/21	[1,0] 5/21	Melhor taxa: 0,9
Acertos para rede neural 63-2-7: [0,1] 4/21	[0,2] 5/21	[0,3] 6/21	[0,4] 6/21	[0,5] 6/21	[0,6] 2/21	[0,7] 3/21	[0,8] 3/21	[0,9] 5/21	[1,0] 8/21	Melhor taxa: 1,0
Acertos para rede neural 63-3-7: [0,1] 5/21	[0,2] 7/21	[0,3] 7/21	[0,4] 4/21	[0,5] 6/21	[0,6] 8/21	[0,7] 5/21	[0,8] 3/21	[0,9] 5/21	[1,0] 2/21	Melhor taxa: 0,6
Acertos para rede neural 63-4-7: [0,1] 3/21	[0,2] 8/21	[0,3] 8/21	[0,4] 5/21	[0,5] 9/21	[0,6] 9/21	[0,7] 6/21	[0,8] 10/21	[0,9] 4/21	[1,0] 8/21	Melhor taxa: 0,8
Acertos para rede neural 63-5-7: [0,1] 11/21	[0,2] 9/21	[0,3] 9/21	[0,4] 12/21	[0,5] 8/21	[0,6] 8/21	[0,7] 8/21	[0,8] 6/21	[0,9] 13/21	[1,0] 5/21	Melhor taxa: 0,9
Acertos para rede neural 63-6-7: [0,1] 11/21	[0,2] 8/21	[0,3] 15/21	[0,4] 12/21	[0,5] 7/21	[0,6] 10/21	[0,7] 11/21	[0,8] 15/21	[0,9] 13/21	[1,0] 13/21	Melhor taxa: 0,3
Acertos para rede neural 63-7-7: [0,1] 13/21	[0,2] 9/21	[0,3] 10/21	[0,4] 13/21	[0,5] 9/21	[0,6] 18/21	[0,7] 15/21	[0,8] 16/21	[0,9] 11/21	[1,0] 12/21	Melhor taxa: 0,6
Acertos para rede neural 63-8-7: [0,1] 12/21	[0,2] 10/21	[0,3] 11/21	[0,4] 7/21	[0,5] 12/21	[0,6] 14/21	[0,7] 11/21	[0,8] 20/21	[0,9] 12/21	[1,0] 9/21	Melhor taxa: 0,8
Acertos para rede neural 63-9-7: [0,1] 11/21	[0,2] 10/21	[0,3] 12/21	[0,4] 9/21	[0,5] 14/21	[0,6] 15/21	[0,7] 13/21	[0,8] 12/21	[0,9] 14/21	[1,0] 9/21	Melhor taxa: 0,6
Acertos para rede neural 63-10-7: [0,1] 13/21	[0,2] 13/21	[0,3] 11/21	[0,4] 13/21	[0,5] 17/21	[0,6] 11/21	[0,7] 13/21	[0,8] 14/21	[0,9] 6/21	[1,0] 9/21	Melhor taxa: 0,5
Acertos para rede neural 63-11-7: [0,1] 11/21	[0,2] 7/21	[0,3] 11/21	[0,4] 12/21	[0,5] 14/21	[0,6] 13/21	[0,7] 9/21	[0,8] 16/21	[0,9] 7/21	[1,0] 10/21	Melhor taxa: 0,8
Acertos para rede neural 63-12-7: [0,1] 12/21	[0,2] 9/21	[0,3] 12/21	[0,4] 12/21	[0,5] 8/21	[0,6] 10/21	[0,7] 17/21	[0,8] 9/21	[0,9] 12/21	[1,0] 6/21	Melhor taxa: 0,7
Acertos para rede neural 63-13-7: [0,1] 15/21	[0,2] 10/21	[0,3] 11/21	[0,4] 14/21	[0,5] 12/21	[0,6] 14/21	[0,7] 16/21	[0,8] 13/21	[0,9] 6/21	[1,0] 2/21	Melhor taxa: 0,7
Acertos para rede neural 63-14-7: [0,1] 12/21	[0,2] 9/21	[0,3] 11/21	[0,4] 10/21	[0,5] 15/21	[0,6] 14/21	[0,7] 15/21	[0,8] 10/21	[0,9] 1/21	[1,0] 1/21	Melhor taxa: 0,5
Acertos para rede neural 63-15-7: [0,1] 9/21	[0,2] 8/21	[0,3] 10/21	[0,4] 8/21	[0,5] 12/21	[0,6] 9/21	[0,7] 12/21	[0,8] 8/21	[0,9] 4/21	[1,0] 2/21	Melhor taxa: 0,5
Acertos para rede neural 63-16-7: [0,1] 11/21	[0,2] 12/21	[0,3] 9/21	[0,4] 10/21	[0,5] 12/21	[0,6] 15/21	[0,7] 14/21	[0,8] 5/21	[0,9] 3/21	[1,0] 1/21	Melhor taxa: 0,6
Acertos para rede neural 63-17-7: [0,1] 13/21	[0,2] 9/21	[0,3] 9/21	[0,4] 9/21	[0,5] 15/21	[0,6] 12/21	[0,7] 6/21	[0,8] 6/21	[0,9] 0/21	[1,0] 4/21	Melhor taxa: 0,5
Acertos para rede neural 63-18-7: [0,1] 11/21	[0,2] 12/21	[0,3] 10/21	[0,4] 10/21	[0,5] 11/21	[0,6] 7/21	[0,7] 7/21	[0,8] 6/21	[0,9] 3/21	[1,0] 3/21	Melhor taxa: 0,2
Acertos para rede neural 63-19-7: [0,1] 10/21	[0,2] 8/21	[0,3] 11/21	[0,4] 12/21	[0,5] 10/21	[0,6] 13/21	[0,7] 6/21	[0,8] 6/21	[0,9] 0/21	[1,0] 1/21	Melhor taxa: 0,6
